Release;Date;Downloads;
0.5.2;January 12, 2011;57;#======>
0.5.1;December 31, 2010;63;#======>
0.5;December 21, 2010;67;#=======>
0.2.0;November 16, 2010;70;#=======>
0.1.2;November  9, 2010;62;#======>
0.1.1;November  8, 2010;73;#=======>
0.1.0;November  7, 2010;94;#=========>
Average; ;69;#=======>
Total; ;486;
