Release, Feb 2011, Mar 2011, Apr 2011, May 2011
Total, 736, 1162, 1875, 2297
0.7.1, 0, 0, 37, 146
0.7, 0, 0, 212, 259
0.6.2, 0, 103, 169, 212 
0.6.1, 0, 146, 215, 260
0.6, 76, 128, 194, 237
0.5.3, 60, 79, 112, 136
0.5.2, 98, 117, 150, 171
0.5.1, 77, 92, 124, 139
0.5, 81, 96, 128, 143
0.2.0, 82, 98, 130, 145
0.1.2, 73, 88, 120, 135
0.1.1, 84, 100, 132, 147
0.1.0, 105, 120, 152, 167
